Gene	Value
BCAT2	3714.46078393887
BCKDHA	3588.5108682854343
BCKDHB	1643.1130629945658
BCL2	1888.36995047
BCL2L1	7218.02319687
BCO1	59.7113836867
BDH1	2169.667485685116
BDH2	1219.309975234884
BDKRB1	14.452251973393674
BDKRB2	411.4462351028134
BDNF	167.12074969
BHMT	7.46327967807
BHMT2	447.450259248
BID	895.414186271
BIRC2	2861.50029019917
BIRC3	1027.216897538857
BIRC7	4.2651098901074285
BIRC8	0.14577851725742544
BLVRA	1934.492357993033
BLVRB	3916.872542946967
BMP15	0.06964866119804014
BMP4	794.527182325
BMP6	456.798967265
BPGM	1127.06634035
BPNT1	1393.4319958187864
BRAF	488.2344838234616
BST1	91.4931512149361
BTD	2082.65133106
BUB1	129.283624826
BUB1B	138.209882565
BUB3	3488.94849868
BUD31	3052.48221251
CA1	3.719470670179515
CA12	1008.52857529963
CA13	167.29473262683086
CA14	296.01791518347767
CA2	1121.5963666613766
CA3	1528.516712970591
CA4	170.7184452873988
CA5A	0.034205231388331134
CA5B	933.035224422647
CA6	2.1757854821264897
CA7	3.6241487385893496
CA8	198.7958133415834
CA9	5.070422341746397
CACNA1A	19.012130475165915
CACNA1B	99.01905664791012
CACNA1C	1420.8448425187253
CACNA1D	1821.6087486497165
CACNA1E	2.6150557189360293
CACNA1F	7.66843367899982
CACNA1G	314.29254372383673
CACNA1H	5407.16271919248
CACNA1I	20.172535211272187
CACNA1S	68.96600758421795
CAD	2024.4981814
CADM1	3544.875
CADM3	182.63591143
CALM1	20874.32073209681
CALM2	22866.50554247175
CALM3	16353.907173803835
CALML3	363.2504836710665
CALML5	19.481639839004256
CALML6	6.48556724965266
CAMK1	2853.547206503378
CAMK1D	188.26007970854897
CAMK1G	136.31363179091255
CAMK2A	63.03358613209352
CAMK2B	943.3216220390532
CAMK2D	3233.881848775163
CAMK2G	3676.9705347443914
CAMK4	178.9520585041734
CAMKK1	713.5328509525807
CAMKK2	13272.282096434918
CAMKMT	187.691688593
CANT1	18424.61609813463
CANX	50434.6386976
CAPN1	11429.802162200122
CAPN2	8029.315953399877
CARNMT1	346.235253444
CARNS1	113.916027124
CASK	1968.56924238
CASP10	406.087351029
CASP12	8.03441804674
CASP3	1199.55440334
CASP6	745.043820616
CASP7	2359.052488
CASP8	924.832417582
CASP9	1064.16905278
CAT	6565.12304597
CAV1	7812.929306605323
CAV2	2023.8751648362902
CAV3	31.20192307690592
CBL	1323.0862095661803
CBLB	920.0956701749756
CBLC	1207.608555178844
CBR1	4107.359077738028
CBR3	726.4742185819722
CBS	3885.83762189
CCDC12	1672.4849288
CCKAR	2.09189753908
CCKBR	45.16742764278042
CCNA1	6.667388949063423
CCNA2	169.89882564597187
CCNB1	476.5004256304865
CCNB2	242.85396997379038
CCNB3	30.063805912423373
CCND1	13444.544683088174
